GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS09865	795.244971743787	-1.98518110557084	0.155920277394814	-12.732026512139	3.92517307578389e-37	2.98680902067227e-35
gene-BTH_RS25505	856.271150865359	1.44884893707013	0.113806371474232	12.7308244547466	3.98607738607897e-37	2.98680902067227e-35
gene-BTH_RS25770	8881.71712248703	1.30518382746178	0.103157186707703	12.6523790451947	1.08537644845606e-36	7.99499329659325e-35
gene-BTH_RS01205	370.715615324668	-3.26134491830097	0.258304363612113	-12.6259768619257	1.51845341045575e-36	1.08612994664219e-34
gene-BTH_RS28540	2856.33280595206	-1.68476277070845	0.133439527003491	-12.6256650374995	1.52448059698973e-36	1.08612994664219e-34
gene-BTH_RS06330	692.049978355303	-1.78584452025068	0.141590053092411	-12.6127823335522	1.79540733801676e-36	1.25852262758401e-34
gene-BTH_RS06295	583.930316138289	-1.55296043526514	0.123292306582137	-12.5957610682753	2.22800490790497e-36	1.53696973488175e-34
gene-BTH_RS28365	1518.54972515426	-1.27122686556687	0.10098194528571	-12.5886549518348	2.43792104244964e-36	1.65550075788846e-34
gene-BTH_RS26990	211.323757854736	-2.44539972349551	0.19773688182079	-12.3669378265598	3.94579246543093e-35	2.63821754688659e-33
gene-BTH_RS28465	30554.562533003	-1.28446116736089	0.104043827720331	-12.3453855505346	5.1586521724166e-35	3.39689429413978e-33
gene-BTH_RS01215	356.48267085466	-1.87880638923701	0.152494203392652	-12.320510205882	7.02484366874262e-35	4.55671202751574e-33
gene-BTH_RS25525	2198.11325896034	1.34750822388261	0.109682727063355	12.2855098515581	1.0835969715525e-34	6.925459468187e-33
gene-BTH_RS25510	1944.85630951566	1.31545650305412	0.107293808017223	12.2603207711945	1.47913211955473e-34	9.31638868345632e-33
gene-BTH_RS25555	1761.31598659633	1.31555395027094	0.107527308716407	12.2346031531449	2.0309502445275e-34	1.26092996610236e-32
gene-BTH_RS28420	754.343213424265	-1.381947534468	0.113807025796972	-12.1429017654267	6.25671159890918e-34	3.82981248012103e-32
gene-BTH_RS13475	8164.69746688941	-1.2259751666814	0.101018286282088	-12.1361707053506	6.79314410408324e-34	4.10041726060358e-32
gene-BTH_RS13465	800.489322280566	-1.4107282794959	0.118125770870178	-11.9425953295687	7.09734767481876e-33	4.22535246503593e-31
gene-BTH_RS14910	163.115042484592	2.76273533203948	0.23190542523885	11.9131983617632	1.01026343542498e-32	5.93324985183374e-31
gene-BTH_RS25440	2656.30190276311	1.32495026925453	0.112325944434718	11.795585391446	4.11330350843098e-32	2.38352227301881e-30
gene-BTH_RS24640	1977.92882795861	2.13587627669552	0.181288735063618	11.7816271151431	4.85467759532625e-32	2.77610905648525e-30
gene-BTH_RS28380	2821.94453258665	-1.29884508019642	0.110508482552929	-11.7533518711953	6.78721464502266e-32	3.83080972042448e-30
gene-BTH_RS25425	17744.2085410681	1.60068262544383	0.136441139107227	11.7316715172385	8.7709305674371e-32	4.88698259565149e-30
gene-BTH_RS34280	1751.70195801458	-1.85497385820265	0.159060333279883	-11.6620770241858	1.99124833561302e-31	1.0954386413385e-29
gene-BTH_RS25560	883.371759397853	1.35947664106533	0.118513529138068	11.4710670667949	1.84371631892723e-30	1.00159889025722e-28
gene-BTH_RS25790	10454.3940218785	1.40709779250002	0.122804621115738	11.4580198995434	2.1435952478572e-30	1.15013147496141e-28
gene-BTH_RS05625	195.239788394559	-2.41273441678691	0.210598253514456	-11.4565737204525	2.17968008169444e-30	1.15523044329805e-28
gene-BTH_RS14500	3660.64260059308	1.30699160925554	0.11509018151714	11.356239012108	6.90539280473997e-30	3.61576350956625e-28
gene-BTH_RS04415	125.740369618633	-2.59490690265146	0.230042767054163	-11.280106459685	1.64546729952293e-29	8.51333438538888e-28
gene-BTH_RS06310	1547.68998787891	-1.14917293463774	0.102737053369843	-11.1855742105123	4.79789571219704e-29	2.45313585473039e-27
gene-BTH_RS28545	988.333426130706	-1.57700068619248	0.141656227104749	-11.1325899215595	8.70683357436387e-29	4.3999882225797e-27
gene-BTH_RS34675	565.486382219258	2.21190174359768	0.203289526265137	10.8805494519813	1.42700189895334e-27	7.12844856649567e-26
gene-BTH_RS27975	208.003424029774	-2.4897020320865	0.230678861177284	-10.7929353360778	3.71723478564431e-27	1.8358070884557e-25
gene-BTH_RS25730	563.986673530822	1.39837581363555	0.130629530368441	10.704898116769	9.65367976631025e-27	4.71403283869487e-25
gene-BTH_RS13430	833.671128211869	-1.5648824215656	0.146206094204217	-10.7032639787218	9.82550171083107e-27	4.74462560391909e-25
gene-BTH_RS25880	935.504830527762	1.90942097842099	0.178815972017705	10.6781343795841	1.28834735401688e-26	6.15292044017291e-25
gene-BTH_RS13450	2348.35759481967	-1.66049308324875	0.155591675443481	-10.6721203336609	1.37453414864455e-26	6.49317979348826e-25
gene-BTH_RS25600	410.497139513757	1.52712131802959	0.143187411115118	10.6651926041308	1.48091901878026e-26	6.92050973722473e-25
gene-BTH_RS26840	1594.83850818439	-1.05961309997992	0.099369518639335	-10.6633615065181	1.51037655666421e-26	6.98308139921558e-25
gene-BTH_RS13460	811.94712254735	-1.49286315887783	0.140715259675475	-10.6091063778069	2.70322034826381e-26	1.23665217195311e-24
gene-BTH_RS28570	580.326138679303	-1.71431196172408	0.164270528361963	-10.4359070298153	1.6998253382528e-25	7.69525095838194e-24
gene-BTH_RS09850	8584.75705110057	-1.13308956627985	0.10885923829663	-10.4087589074645	2.26150650863518e-25	1.01324817386892e-23
gene-BTH_RS28565	567.380390857193	-1.5886946812405	0.152868701530601	-10.39254383228	2.68105399779626e-25	1.18896537494108e-23
gene-BTH_RS07500	2307.88473243236	-1.24554171136695	0.12019181107141	-10.3629498570991	3.6551232249965e-25	1.60456217533685e-23
gene-BTH_RS27985	281.201523926203	-2.56864493308952	0.250267590824628	-10.2635939580745	1.02807672151787e-24	4.46802143171668e-23
gene-BTH_RS25530	1931.10403338519	1.27247912889457	0.124334827769438	10.2342935742366	1.39207389049539e-24	5.99005260207225e-23
gene-BTH_RS08765	300.4065656522	-1.54455889654704	0.151061190260342	-10.2247234639494	1.53665907106352e-24	6.54737286553143e-23
gene-BTH_RS14915	135.798764503201	2.19883232248429	0.215953742501203	10.1819597892453	2.38704752426255e-24	1.0071950039267e-22
gene-BTH_RS28390	3878.56532356219	-1.12560279104021	0.111349513891404	-10.1087355633899	5.05322246682774e-24	2.11166392700321e-22
gene-BTH_RS25725	984.822164463303	1.372621033828	0.13593606227692	10.0975488831785	5.66401677444831e-24	2.3443635144526e-22
gene-BTH_RS28400	1439.36495695094	-1.11326773543731	0.110496552852716	-10.0751354381274	7.11626828687417e-24	2.91766999761841e-22
gene-BTH_RS02775	1043.96605296969	1.26752287723628	0.125947738055972	10.0638796440551	7.97905952257457e-24	3.24084043786066e-22
gene-BTH_RS25890	1696.99312384481	1.13366258789521	0.113755701731084	9.96576497391898	2.15210661375404e-23	8.660236429051e-22
gene-BTH_RS28415	761.368945590535	-1.14304788799043	0.115463301985879	-9.89966394803283	4.1767614037297e-23	1.66533991381736e-21
gene-BTH_RS33970	5336.63396336152	1.9945254204259	0.202257045559132	9.86133963794493	6.12269701391192e-23	2.41902192931466e-21
gene-BTH_RS09605	134.671339265271	2.09914396075597	0.213109904837923	9.85005348462068	6.85075100270915e-23	2.65833605872982e-21
gene-BTH_RS14865	116.777158372484	2.22470153500846	0.227067170005257	9.79754816584429	1.15351554347328e-22	4.43644119640253e-21
gene-BTH_RS25605	1015.11815599222	1.34689184756907	0.138656386868473	9.71388248308177	2.63119351468452e-22	1.00308482586131e-20
MSTRG.4009.19	846.478501534975	1.45575425242089	0.149921811888601	9.7100897733452	2.73096476639977e-22	1.03206720650203e-20
gene-BTH_RS24100	333.896854111609	-1.47385220013749	0.154032584960529	-9.56844423869902	1.08526406655065e-21	4.06599795968029e-20
gene-BTH_RS25775	879.844713212679	1.15826181996134	0.121389175689744	9.54172242607289	1.4047943723473e-21	5.21815071984731e-20
gene-BTH_RS13455	583.723534327481	-1.5746747846789	0.165303479634518	-9.52596272117485	1.63519161279799e-21	6.02249385527126e-20
gene-BTH_RS28395	1001.35453541924	-1.20206951839487	0.12682732492962	-9.47800104639853	2.59200687855169e-21	9.46627049931567e-20
gene-BTH_RS25795	852.58734219756	1.20783145864606	0.128696027085552	9.3851495341277	6.2827227405878e-21	2.27539275254955e-19
gene-BTH_RS13445	2304.7779033447	-1.58276252215195	0.169679176399646	-9.32797150325661	1.07916418625171e-20	3.87607235822307e-19
gene-BTH_RS25625	381.364131101209	1.36950365662631	0.146886813978348	9.32353027160202	1.12532346934943e-20	4.00873426048574e-19
gene-BTH_RS12140	301.123249301452	-1.45391580670518	0.15621102165643	-9.30738299569492	1.31020725086721e-20	4.62939895306415e-19
gene-BTH_RS25825	830.074189365753	1.37880640316665	0.148370900416106	9.2929705171283	1.50041195474121e-20	5.25870189943977e-19
gene-BTH_RS28355	1431.48719957731	-1.11205349946561	0.119956237418461	-9.27049333488404	1.85286916367659e-20	6.44205550827076e-19
gene-BTH_RS24650	1188.45232318003	1.50000598544729	0.162131526813611	9.25178473876778	2.20774976722551e-20	7.61498451457307e-19
MSTRG.632.1	53.7715880240414	-3.21920334833876	0.351325432501912	-9.1630239388412	5.04630109841347e-20	1.72686807666968e-18
gene-BTH_RS00780	605.737493598745	-1.57877496831238	0.172376020454903	-9.15890136079232	5.24283394995972e-20	1.78010596457226e-18
gene-BTH_RS28385	1667.06364621928	-1.2452069313772	0.1368678864778	-9.09787506347719	9.21163784969675e-20	3.1033936507583e-18
gene-BTH_RS13435	3295.61012438951	-1.56092810697112	0.1729456686068	-9.02554033035637	1.78810739575811e-19	5.94563540742151e-18
gene-BTH_RS25395	1174.47877424489	1.14161507988076	0.126490657376288	9.02529169790504	1.79217266077363e-19	5.94563540742151e-18
gene-BTH_RS04190	7736.87686786336	-1.13575294864691	0.126167324046553	-9.0019579731107	2.21727440487746e-19	7.30020800272533e-18
gene-BTH_RS25735	466.220769525034	1.19623547462796	0.133005415953728	8.99388544481622	2.38641185690411e-19	7.79800445872578e-18
gene-BTH_RS13420	1212.59047916562	-1.26328265801103	0.140837882467662	-8.96976463914876	2.97148700561881e-19	9.63737501971594e-18
gene-BTH_RS25580	518.827008638165	1.2906411260946	0.144013634416761	8.961937050763	3.19023970279253e-19	1.02702087024714e-17
gene-BTH_RS25540	477.974901644149	1.36386909696405	0.152739598307045	8.92937464862471	4.28423654704214e-19	1.36906559069449e-17
gene-BTH_RS13725	615.608888304088	-1.18277603776607	0.132600804279168	-8.91982551837273	4.67023407495806e-19	1.48152097005604e-17
gene-BTH_RS25495	323.412498393906	1.40181894146714	0.157914014986083	8.87710278021041	6.86243847588854e-19	2.16117084175446e-17
gene-BTH_RS25485	1360.99233712867	1.03641930958238	0.117519036441458	8.81916105650401	1.15320468156425e-18	3.60563132811383e-17
gene-BTH_RS09860	464.954210658208	-1.32520115974006	0.151448897014748	-8.75015391898831	2.13061940945273e-18	6.61405139534398e-17
gene-BTH_RS25805	2173.4974169201	1.31527595412189	0.150607104620385	8.73316008190406	2.47654193085488e-18	7.63336966772718e-17
gene-BTH_RS06300	473.266023352416	-1.38931167822377	0.160140759965246	-8.67556566189198	4.1149988232592e-18	1.25942147083694e-16
gene-BTH_RS28475	1990.84074357754	-1.11734410946663	0.129075724193247	-8.65650079788657	4.86467650083754e-18	1.47845343165314e-16
gene-BTH_RS15325	264.399052303471	-1.53334407498659	0.17814731578202	-8.60716911874654	7.48869244282652e-18	2.26012898309195e-16
gene-BTH_RS28470	7095.06835462185	-1.31676361700853	0.153747623829047	-8.56444856977206	1.08594291069129e-17	3.25483302749264e-16
gene-BTH_RS05995	435.455500483793	-1.2558721665224	0.147053199569259	-8.54025733680763	1.33923250112026e-17	3.95939078222357e-16
gene-BTH_RS25745	340.387162209341	1.50669717954266	0.176542035083281	8.53449536158287	1.40768482790113e-17	4.13364747436373e-16
gene-BTH_RS14495	1546.04999908299	1.08623072985998	0.128539096252347	8.45058633155085	2.89843497537132e-17	8.45409288789513e-16
gene-BTH_RS04180	792.015114637848	-1.1139818259511	0.132281012942846	-8.42132821006148	3.72239844807985e-17	1.078502910357e-15
gene-BTH_RS25645	350.160810083319	1.4310213493933	0.170425015854084	8.39677991063546	4.58889008887122e-17	1.32074942557843e-15
gene-BTH_RS28405	1068.83321627942	-1.17329134718015	0.14005000371003	-8.37766023633542	5.39902341214805e-17	1.54369445718391e-15
gene-BTH_RS34670	237.411222800626	1.55711514984254	0.188277675795366	8.27031215073493	1.33608734575461e-16	3.77054260042177e-15
gene-BTH_RS25590	425.946647047513	1.16062134421363	0.140623313277046	8.25340633190069	1.53942537430367e-16	4.31635011401533e-15
gene-BTH_RS34685	1275.56198543041	2.01652938544446	0.245079401299369	8.2280655769239	1.90260920771265e-16	5.30047411328151e-15
gene-BTH_RS09405	595.24505091162	1.07131666528555	0.13152406471848	8.14540417054968	3.78017117408149e-16	1.04640916704192e-14
gene-BTH_RS25400	4495.56353216746	1.00004389904447	0.122838751994497	8.14111086938812	3.91667528302103e-16	1.07733359367148e-14
gene-BTH_RS00190	315.160553453093	-1.41366342076664	0.175018838283986	-8.07720720024907	6.62668966163402e-16	1.79997457934134e-14
gene-BTH_RS25820	179.705146023018	1.9834148255999	0.246388500169327	8.04994885815217	8.28286399663287e-16	2.2358588154886e-14
